Food,Serving,Calories
Bell Pepper,1 pepper (73 g),15 cal
Broccoli,1 bunch (608 g),207 cal
Cabbage,1 head (908 g),227 cal
Carrot,1 carrot (61 g),25 cal
Cauliflower,1 floweret (13 g),3 cal
Corn,1 cup (154 g),562 cal
Cucumber,1 cucumber (410 g),66 cal
Eggplant,1 eggplant (458 g),115 cal
Garlic,1 clove (3 g),4 cal
Onion,1 onion (85 g),34 cal
Pepper,1 pepper (75 g),20 cal
Potato,1 potato (213 g),164 cal
Pumpkin,1 pumpkin (196 g),51 cal
Spinach,1 bunch (340 g),78 cal
Tomato,1 tomato (111 g),20 cal
Apple,1 apple (182 g),95 cal
Banana,1 banana (125 g),111 cal
Grapes,1 cup (151 g),104 cal
Lemon,1 lemon (58 g),17 cal
Mango,1 mango (336 g),202 cal
Orange,1 orange (131 g),62 cal
Pear,1 pear (178 g),101 cal
Pineapple,1 pineapple (905 g),453 cal
Banana,1 banana (125 g),111 cal
Mango,1 mango (336 g),202 cal
Pineapple,1 pineapple (905 g),453 cal
